{SIL} {SIL}
<UNK> <UNK>
{NOISE} {NOISE}
{COUGH} {COUGH}
{BREATH} {BREATH}
红领 H ONG2 L ING3
低回 D I1 H UI2
谬种 M IU4 ZH ONG3
挑食 T IAO1 SH IX2
剥皮 B AO1 P I2
名士 M ING2 SH IX4
雨鞋 VV V3 X IE2
功利 G ONG1 L I4
便衣 B IAN4 II I1
松气 S ONG1 Q I4
孤山 G U1 SH AN1
博美 B O2 M EI3
歌姬 G E1 J I1
友生 II IU3 SH ENG1
废除 F EI4 CH U2
教鞭 J IAO4 B IAN1
烟气 II IAN1 Q I4
所见 S UO3 J IAN4
城县 CH ENG2 X IAN4
笋干 S UN3 G AN1
冷杉 L ENG3 SH AN1
蘸酱 ZH AN4 J IANG4
河里 H E2 L I3
奢华 SH E1 H UA2
子宫 Z IY3 G ONG1
神舟 SH EN2 ZH OU1
白丁 B AI2 D ING1
晓峰 X IAO3 F ENG1
小鹅 X IAO3 EE E2
巩固 G ONG3 G U4
红岗 H ONG2 G ANG3
格勒 G E2 L E4
见到 J IAN4 D AO4
暂列 Z AN4 L IE4
冲天 CH ONG1 T IAN1
酒色 J IU3 S E4
网站 UU UANG3 ZH AN4
年载 N IAN2 Z AI3
横笛 H ENG2 D I2
遇阻 VV V4 Z U3
盘问 P AN2 UU UN4
明志 M ING2 ZH IX4
支行 ZH IX1 H ANG2
没品 M EI2 P IN3
猜对 C AI1 D UI4
项羽 X IANG4 VV V3
调速 T IAO2 S U4
未卜 UU UI4 B U3
拖住 T UO1 ZH U4
车子 CH E1 Z IY5
木匠 M U4 J IANG4
承东 CH ENG2 D ONG1
秃鹰 T U1 II ING1
头号 T OU2 H AO4
爬高 P A2 G AO1
炸雷 ZH A4 L EI2
煤灰 M EI2 H UI1
顺差 SH UN4 CH A1
创优 CH UANG4 II IU1
跳绳 T IAO4 SH ENG2
以文 II I3 UU UN2
违悖 UU UI2 B EI4
幂等 M I4 D ENG3
永丰 II IONG3 F ENG1
脊椎 J I3 ZH UI1
干涩 G AN1 S E4
在河 Z AI4 H E2
两队 L IANG3 D UI4
达日 D A2 R IZ4
杞人 Q I3 R EN2
情愿 Q ING2 VV VAN4
泉城 Q VAN2 CH ENG2
单另 D AN1 L ING4
愣神 L ENG4 SH EN2
盛妆 SH ENG4 ZH UANG1
小半 X IAO3 B AN4
接近 J IE1 J IN4
照相 ZH AO4 X IANG4
掠取 L VE4 Q V3
英姿 II ING1 Z IY1
匿名 N I4 M ING2
出殡 CH U1 B IN4
油压 II IU2 II IA1
粮秣 L IANG2 M O4
瓜沥 G UA1 L I4
苦命 K U3 M ING4
衍伟 II IAN3 UU UI3
飞来 F EI1 L AI2
箱底 X IANG1 D I3
养路 II IANG3 L U4
林依 L IN2 II I1
挡驾 D ANG3 J IA4
化外 H UA4 UU UAI4
狂徒 K UANG2 T U2
弹牙 T AN2 II IA2
肉欲 R OU4 VV V4
洋芋 II IANG2 VV V4
音序 II IN1 X V4
会亮 H UI4 L IANG4
园里 VV VAN2 L I3
拉活 L A1 H UO2
作用 Z UO4 II IONG4
棒材 B ANG4 C AI2
其它 Q I2 T A1
电控 D IAN4 K ONG4
装出 ZH UANG1 CH U1
杨姓 II IANG2 X ING4
贼心 Z EI2 X IN1
改成 G AI3 CH ENG2
樊笼 F AN2 L ONG2
十美 SH IX2 M EI3
淋雨 L IN2 VV V3
陈美 CH EN2 M EI3
小城 X IAO3 CH ENG2
本比 B EN3 B I3
尖兵 J IAN1 B ING1
标签 B IAO1 Q IAN1
小宝 X IAO3 B AO3
大势 D A4 SH IX4
顾主 G U4 ZH U3
犯病 F AN4 B ING4
钜额 J V4 EE E2
野驴 II IE3 L V2
过关 G UO4 G UAN1
就怕 J IU4 P A4
重出 CH ONG2 CH U1
全城 Q VAN2 CH ENG2
便于 B IAN4 VV V2
下手 X IA4 SH OU3
磊落 L EI3 L UO4
方面 F ANG1 M IAN4
提醒 T I2 X ING3
长龙 CH ANG2 L ONG2
卫报 UU UI4 B AO4
照准 ZH AO4 ZH UN3
文堂 UU UN2 T ANG2
寄送 J I4 S ONG4
内院 N EI4 VV VAN4
历史 L I4 SH IX3
刀剑 D AO1 J IAN4
呼中 H U1 ZH ONG1
附设 F U4 SH E4
谷草 G U3 C AO3
如雄 R U2 X IONG2
机上 J I1 SH ANG4
青檀 Q ING1 T AN2
帝都 D I4 D U1
只许 ZH IX3 X V3
翅展 CH IX4 ZH AN3
慰问 UU UI4 UU UN4
等第 D ENG3 D I4
找抽 ZH AO3 CH OU1
造作 Z AO4 Z UO4
行之 X ING2 ZH IX1
导板 D AO3 B AN3
配售 P EI4 SH OU4
岩溶 II IAN2 R ONG2
阔气 K UO4 Q I5
地政 D I4 ZH ENG4
那天 N A4 T IAN1
胡克 H U2 K E4
安排 AA AN1 P AI2
喜树 X I3 SH U4
沫子 M O4 Z IY5
金地 J IN1 D I4
金身 J IN1 SH EN1
测验 C E4 II IAN4
沙锅 SH A1 G UO1
基多 J I1 D UO1
敷设 F U1 SH E4
边卡 B IAN1 Q IA3
旁落 P ANG2 L UO4
彭勃 P ENG2 B O2
速溶 S U4 R ONG2
小浪 X IAO3 L ANG4
权力 Q VAN2 L I4
转去 ZH UAN4 Q V4
角子 J IAO3 Z IY5
义愤 II I4 F EN4
转债 ZH UAN3 ZH AI4
开屏 K AI1 P ING2
说完 SH UO1 UU UAN2
小径 X IAO3 J ING4
遥控 II IAO2 K ONG4
逍遥 X IAO1 II IAO2
永福 II IONG3 F U2
笼络 L ONG3 L UO4
汽船 Q I4 CH UAN2
公亩 G ONG1 M U3
金乡 J IN1 X IANG1
景辉 J ING3 H UI1
进成 J IN4 CH ENG2
运营 VV VN4 II ING2
魔窟 M O2 K U1
小抄 X IAO3 CH AO1
豫东 VV V4 D ONG1
水电 SH UI3 D IAN4
由惠 II IU2 H UI4
使得 SH IX3 D E5
宅子 ZH AI2 Z IY5
怀仁 H UAI2 R EN2
扼死 EE E4 S IY3
甜言 T IAN2 II IAN2
巷村 X IANG4 C UN1
荣丰 R ONG2 F ENG1
获胜 H UO4 SH ENG4
围脖 UU UI2 B O2
议院 II I4 VV VAN4
扎穿 ZH A1 CH UAN1
纪行 J I4 X ING2
战报 ZH AN4 B AO4
劳力 L AO2 L I4
憋屈 B IE1 Q V1
素雅 S U4 II IA3
空暇 K ONG4 X IA2
秋葵 Q IU1 K UI2
除根 CH U2 G EN1
懊恼 AA AO4 N AO3
领巾 L ING3 J IN1
哭闹 K U1 N AO4
布店 B U4 D IAN4
高雄 G AO1 X IONG2
探矿 T AN4 K UANG4
创造 CH UANG4 Z AO4
晨起 CH EN2 Q I3
决断 J VE2 D UAN4
汶川 UU UN4 CH UAN1
照样 ZH AO4 II IANG4
双江 SH UANG1 J IANG1
比重 B I3 ZH ONG4
待命 D AI4 M ING4
等子 D ENG2 Z IY3
隔阂 G E2 H E2
恶人 EE E4 R EN2
天工 T IAN1 G ONG1
欢快 H UAN1 K UAI4
工时 G ONG1 SH IX2
头大 T OU2 D A4
难色 N AN4 S E4
荏苒 R EN3 R AN3
榜文 B ANG3 UU UN2
下女 X IA4 N V3
枝子 ZH IX1 Z IY5
普华 P U3 H UA2
电钮 D IAN4 N IU3
纯平 CH UN2 P ING2
钩花 G OU1 H UA1
苏共 S U1 G ONG4
给予 J I2 VV V3
燕红 II IAN4 H ONG2
继伟 J I4 UU UI3
合新 H E2 X IN1
大项 D A4 X IANG4
少中 SH AO4 ZH ONG4
看门 K AN1 M EN2
爽脆 SH UANG3 C UI4
封门 F ENG1 M EN2
天达 T IAN1 D A2
花鼓 H UA1 G U3
批注 P I1 ZH U4
拖走 T UO1 Z OU3
跃红 VV VE4 H ONG2
全体 Q VAN2 T I3
编造 B IAN1 Z AO4
冬闲 D ONG1 X IAN2
巩县 G ONG3 X IAN4
家风 J IA1 F ENG1
比比 B I2 B I3
赏月 SH ANG3 VV VE4
要命 II IAO4 M ING4
演技 II IAN3 J I4
哈喇 H A1 L A5
内衣 N EI4 II I1
大社 D A4 SH E4
惊醒 J ING1 X ING3
诚朴 CH ENG2 P U3
仓鼠 C ANG1 SH U3
严加 II IAN2 J IA1
白山 B AI2 SH AN1
游荡 II IU2 D ANG4
了得 L IAO3 D E5
遵从 Z UN1 C ONG2
芷珊 ZH IX3 SH AN1
前秦 Q IAN2 Q IN2
僵化 J IANG1 H UA4
贮藏 ZH U4 C ANG2
运达 VV VN4 D A2
字纸 Z IY4 ZH IX3
印数 II IN4 SH U4
冰鞋 B ING1 X IE2
象牙 X IANG4 II IA2
丁瑜 D ING1 VV V2
抚养 F U3 II IANG3
颐景 II I2 J ING3
展业 ZH AN3 II IE4
个头 G E4 T OU2
妨害 F ANG2 H AI4
曲尺 Q V1 CH IX3
莴笋 UU UO1 S UN3
乱想 L UAN4 X IANG3
发威 F A1 UU UI1
奉养 F ENG4 II IANG3
留成 L IU2 CH ENG2
平罗 P ING2 L UO2
爱戴 AA AI4 D AI4
树平 SH U4 P ING2
精心 J ING1 X IN1
上九 SH ANG4 J IU3
疾速 J I2 S U4
安安 AA AN1 AA AN1
消亡 X IAO1 UU UANG2
邻座 L IN2 Z UO4
鞋帮 X IE2 B ANG1
过紧 G UO4 J IN3
推测 T UI1 C E4
闪现 SH AN3 X IAN4
撞上 ZH UANG4 SH ANG4
责怪 Z E2 G UAI4
多汁 D UO1 ZH IX1
表单 B IAO3 D AN1
稳赚 UU UN3 ZH UAN4
北镇 B EI3 ZH EN4
前清 Q IAN2 Q ING1
回笼 H UI2 L ONG2
外袍 UU UAI4 P AO2
塔崩 T A3 B ENG1
异议 II I4 II I4
逃婚 T AO2 H UN1
带花 D AI4 H UA1
远忠 VV VAN3 ZH ONG1
衣食 II I1 SH IX2
和成 H E2 CH ENG2
萧何 X IAO1 H E2
堂会 T ANG2 H UI4
单经 SH AN4 J ING1
石刻 SH IX2 K E4
阿盟 AA A1 M ENG2
评判 P ING2 P AN4
盟昌 M ENG2 CH ANG1
领走 L ING3 Z OU3
妖姬 II IAO1 J I1
接掌 J IE1 ZH ANG3
刮刀 G UA1 D AO1
何等 H E2 D ENG3
坑木 K ENG1 M U4
堪虞 K AN1 VV V2
交割 J IAO1 G E1
痴人 CH IX1 R EN2
竞合 J ING4 H E2
松鼠 S ONG1 SH U3
合营 H E2 II ING2
造访 Z AO4 F ANG3
谷穗 G U3 S UI4
街口 J IE1 K OU3
大锤 D A4 CH UI2
力博 L I4 B O2
明娜 M ING2 N A2
夜郎 II IE4 L ANG2
多舛 D UO1 CH UAN3
篡夺 C UAN4 D UO2
织物 ZH IX1 UU U4
毒草 D U2 C AO3
看上 K AN4 SH ANG4
黑店 H EI1 D IAN4
本茨 B EN3 C IY2
伺机 S IY4 J I1
大治 D A4 ZH IX4
鄂州 EE E4 ZH OU1
惶惶 H UANG2 H UANG2
双桥 SH UANG1 Q IAO2
叙述 X V4 SH U4
店庆 D IAN4 Q ING4
代孕 D AI4 VV VN4
的诗 D E1 SH IX1
许可 X V3 K E3
协约 X IE2 VV VE1
样张 II IANG4 ZH ANG1
查铺 CH A2 P U4
歌词 G E1 C IY2
地坛 D I4 T AN2
道之 D AO4 ZH IX1
陈旧 CH EN2 J IU4
亿豪 II I4 H AO2
更高 G ENG4 G AO1
延年 II IAN2 N IAN2
抹脸 M A1 L IAN3
鼓槌 G U3 CH UI2
欧氏 OO OU1 SH IX4
韩寒 H AN2 H AN2
哀愁 AA AI1 CH OU2
阿片 AA A1 P IAN4
互撞 H U4 ZH UANG4
佐餐 Z UO3 C AN1
武功 UU U3 G ONG1
皮条 P I2 T IAO2
新登 X IN1 D ENG1
牦牛 M AO2 N IU2
闺秀 G UI1 X IU4
惊急 J ING1 J I2
蒸气 ZH ENG1 Q I4
荒废 H UANG1 F EI4
秃驴 T U1 L V2
相干 X IANG1 G AN1
学才 X VE2 C AI2
戊糖 UU U4 T ANG2
永磁 II IONG3 C IY2
香附 X IANG1 F U4
杜纳 D U4 N A4
爽亮 SH UANG3 L IANG4
题序 T I2 X V4
菊池 J V2 CH IX2
朝夕 ZH AO1 X I1
占城 ZH AN4 CH ENG2
推拿 T UI1 N A2
屋舍 UU U1 SH E4
人质 R EN2 ZH IX4
后置 H OU4 ZH IX4
朵拉 D UO3 L A1
认账 R EN4 ZH ANG4
在外 Z AI4 UU UAI4
喝醉 H E1 Z UI4
转轮 ZH UAN4 L UN2
今村 J IN1 C UN1
鹭鸟 L U4 N IAO3
拐棍 G UAI3 G UN4
轩雨 X VAN1 VV V3
天性 T IAN1 X ING4
远非 VV VAN3 F EI1
芙蕖 F U2 Q V2
神婆 SH EN2 P O2
电化 D IAN4 H UA4
撑杆 CH ENG1 G AN1
铁工 T IE3 G ONG1
干尸 G AN1 SH IX1
心潮 X IN1 CH AO2
阿帕 AA A1 P A4
糖稀 T ANG2 X I1
千叶 Q IAN1 II IE4
盛筵 SH ENG4 II IAN2
防风 F ANG2 F ENG1
校徽 X IAO4 H UI1
燕玲 II IAN4 L ING2
嗣后 S IY4 H OU4
正非 ZH ENG4 F EI1
客群 K E4 Q VN2
浆膜 J IANG1 M O2
顾忌 G U4 J I4
叨唠 D AO1 L AO5
起身 Q I3 SH EN1
神祖 SH EN2 Z U3
闪闪 SH AN2 SH AN3
园园 VV VAN2 VV VAN2
显弄 X IAN3 N ONG4
堆满 D UI1 M AN3
志祥 ZH IX4 X IANG2
空口 K ONG1 K OU3
缉拿 J I1 N A2
行军 X ING2 J VN1
树挂 SH U4 G UA4
春煦 CH UN1 X V4
太郎 T AI4 L ANG2
盒带 H E2 D AI4
临时 L IN2 SH IX2
祁阳 Q I2 II IANG2
陨石 VV VN3 SH IX2
长刀 CH ANG2 D AO1
赴死 F U4 S IY3
富基 F U4 J I1
王充 UU UANG2 CH ONG1
成达 CH ENG2 D A2
救市 J IU4 SH IX4
熏烤 X VN1 K AO3
强忍 Q IANG2 R EN3
渺远 M IAO3 VV VAN3
经商 J ING1 SH ANG1
北县 B EI3 X IAN4
平壤 P ING2 R ANG3
狍子 P AO2 Z IY5
枕套 ZH EN3 T AO4
浸没 J IN4 M O4
茅盾 M AO2 D UN4
师德 SH IX1 D E2
多层 D UO1 C ENG2
片花 P IAN4 H UA1
泥古 N I4 G U3
迷幻 M I2 H UAN4
十度 SH IX2 D U4
逃学 T AO2 X VE2
亨通 H ENG1 T ONG1
育之 VV V4 ZH IX1
女婴 N V3 II ING1
白洞 B AI2 D ONG4
新启 X IN1 Q I3
飘红 P IAO1 H ONG2
诗书 SH IX1 SH U1
为德 UU UI2 D E2
救场 J IU4 CH ANG3
施肥 SH IX1 F EI2
枚举 M EI2 J V3
盛产 SH ENG4 CH AN3
起舞 Q I3 UU U3
贺电 H E4 D IAN4
前镇 Q IAN2 ZH EN4
虚文 X V1 UU UN2
猴儿 H OU2 EE ER2
东环 D ONG1 H UAN2
趋稳 Q V1 UU UN3
大拿 D A4 N A2
竟然 J ING4 R AN2
乡间 X IANG1 J IAN1
抄袭 CH AO1 X I2
倒车 D AO3 CH E1
接获 J IE1 H UO4
哇哇 UU UA1 UU UA1
领跌 L ING3 D IE1
贵景 G UI4 J ING3
肉票 R OU4 P IAO4
卷边 J VAN3 B IAN1
查岗 CH A2 G ANG3
老黑 L AO3 H EI1
药料 II IAO4 L IAO4
东港 D ONG1 G ANG3
自重 Z IY4 ZH ONG4
试题 SH IX4 T I2
千亿 Q IAN1 II I4
送来 S ONG4 L AI2
卡拉 K A3 L A1
迈得 M AI4 D E5
物权 UU U4 Q VAN2
要领 II IAO4 L ING3
走水 Z OU3 SH UI3
世事 SH IX4 SH IX4
软件 R UAN3 J IAN4
导弹 D AO3 D AN4
造币 Z AO4 B I4
号兵 H AO4 B ING1
多星 D UO1 X ING1
哄骗 H ONG3 P IAN4
方太 F ANG1 T AI4
心花 X IN1 H UA1
搞通 G AO3 T ONG1
今昔 J IN1 X I1
就餐 J IU4 C AN1
猪舍 ZH U1 SH E4
少林 SH AO4 L IN2
刘建 L IU2 J IAN4
发扬 F A1 II IANG2
血球 X VE4 Q IU2
噪声 Z AO4 SH ENG1
易事 II I4 SH IX4
集村 J I2 C UN1
量度 L IANG2 D U4
立刻 L I4 K E4
清代 Q ING1 D AI4
破开 P O4 K AI1
考语 K AO2 VV V3
抗衡 K ANG4 H ENG2
猪血 ZH U1 X VE4
法门 F A3 M EN2
守则 SH OU3 Z E2
目眦 M U4 Z IY4
批价 P I1 J IA4
烙印 L AO4 II IN4
油纸 II IU2 ZH IX3
辽阔 L IAO2 K UO4
园子 VV VAN2 Z IY5
诗兴 SH IX1 X ING4
缴税 J IAO3 SH UI4
国农 G UO2 N ONG2
随同 S UI2 T ONG2
稳厚 UU UN3 H OU4
偿债 CH ANG2 ZH AI4
双亲 SH UANG1 Q IN1
社论 SH E4 L UN4
西学 X I1 X VE2
徇私 X VN4 S IY1
逐句 ZH U2 J V4
物业 UU U4 II IE4
君诚 J VN1 CH ENG2
岁出 S UI4 CH U1
高扬 G AO1 II IANG2
阻塞 Z U3 S E4
其营 Q I2 II ING2
尊从 Z UN1 C ONG2
丰收 F ENG1 SH OU1
表姐 B IAO3 J IE3
曾月 Z ENG1 VV VE4
让给 R ANG4 G EI3
亚雄 II IA4 X IONG2
转型 ZH UAN3 X ING2
诡笑 G UI3 X IAO4
大期 D A4 Q I1
印泥 II IN4 N I2
乞食 Q I3 SH IX2
招安 ZH AO1 AA AN1
悦胜 VV VE4 SH ENG4
阴森 II IN1 S EN1
孙燕 S UN1 II IAN4
了却 L IAO3 Q VE4
动弹 D ONG4 T AN5
天佐 T IAN1 Z UO3
己任 J I3 R EN4
幸甚 X ING4 SH EN4
临深 L IN2 SH EN1
甚微 SH EN4 UU UI1
国教 G UO2 J IAO4
天沟 T IAN1 G OU1
群组 Q VN2 Z U3
卑污 B EI1 UU U1
孟浪 M ENG4 L ANG4
密文 M I4 UU UN2
左眼 Z UO3 II IAN3
汹汹 X IONG1 X IONG1
浸润 J IN4 R UN4
牙冠 II IA2 G UAN1
弯路 UU UAN1 L U4
烧卖 SH AO1 M AI4
许飞 X V3 F EI1
谷糠 G U3 K ANG1
出操 CH U1 C AO1
粘粘 N IAN2 N IAN2
半环 B AN4 H UAN2
水产 SH UI2 CH AN3
洄游 H UI2 II IU2
大船 D A4 CH UAN2
有旧 II IU3 J IU4
喊停 H AN3 T ING2
酌酒 ZH UO2 J IU3
风尘 F ENG1 CH EN2
昏君 H UN1 J VN1
研读 II IAN2 D U2
更大 G ENG4 D A4
当差 D ANG1 CH AI1
轻舞 Q ING1 UU U3
酸枣 S UAN1 Z AO3
嘎吱 G A1 ZH IX1
大客 D A4 K E4
育雏 VV V4 CH U2
西晋 X I1 J IN4
骨盆 G U3 P EN2
爆粗 B AO4 C U1
河蟹 H E2 X IE4
合身 H E2 SH EN1
勃兴 B O2 X ING1
黝暗 II IU3 AA AN4
危楼 UU UI1 L OU2
专访 ZH UAN1 F ANG3
提振 T I2 ZH EN4
拿铁 N A2 T IE3
新衣 X IN1 II I4
振臂 ZH EN4 B I4
次比 C IY4 B I3
鸟嘴 N IAO3 Z UI3
年率 N IAN2 L V4
定能 D ING4 N ENG2
倒粪 D AO4 F EN4
放对 F ANG4 D UI4
子口 Z IY3 K OU5
丑陋 CH OU3 L OU4
风城 F ENG1 CH ENG2
就使 J IU4 SH IX3
世安 SH IX4 AA AN1
斜率 X IE2 L V4
上谕 SH ANG4 VV V4
家史 J IA1 SH IX3
寻问 X VN2 UU UN4
约莫 VV VE1 M O5
组件 Z U3 J IAN4
哈撒 H A3 S A3
兜头 D OU1 T OU2
台庆 T AI2 Q ING4
新展 X IN1 ZH AN3
吸管 X I1 G UAN3
金逸 J IN1 II I4
承重 CH ENG2 ZH ONG4
悔婚 H UI3 H UN1
重者 ZH ONG4 ZH E3
韵母 VV VN4 M U3
莫迪 M O4 D I2
膝盖 X I1 G AI4
螺蛳 L UO2 S IY1
宗室 Z ONG1 SH IX4
角标 J IAO3 B IAO1
黄兴 H UANG2 X ING1
过房 G UO4 F ANG2
地陪 D I4 P EI2
砸死 Z A2 S IY3
施加 SH IX1 J IA1
稿纸 G AO3 ZH IX3
飞蝗 F EI1 H UANG2
灵寿 L ING2 SH OU4
更楼 G ENG1 L OU2
白化 B AI2 H UA4
无补 UU U2 B U3
国台 G UO2 T AI2
奄奄 II IAN2 II IAN3
传流 CH UAN2 L IU2
停运 T ING2 VV VN4
食色 SH IX2 S E4
爽健 SH UANG3 J IAN4
伦理 L UN2 L I3
智齿 ZH IX4 CH IX3
失宠 SH IX1 CH ONG3
美剧 M EI3 J V4
搭盖 D A1 G AI4
山亭 SH AN1 T ING2
拼法 P IN1 F A3
星官 X ING1 G UAN1
邮编 II IU2 B IAN1
空门 K ONG1 M EN2
扩股 K UO4 G U3
福清 F U2 Q ING1
翻案 F AN1 AA AN4
笔力 B I3 L I4
汤锅 T ANG1 G UO1
短程 D UAN3 CH ENG2
踏上 T A4 SH ANG4
台灯 T AI2 D ENG1
铁图 T IE3 T U2
万众 UU UAN4 ZH ONG4
金门 J IN1 M EN2
访谈 F ANG3 T AN2
本经 B EN3 J ING1
星才 X ING1 C AI2
状告 ZH UANG4 G AO4
在文 Z AI4 UU UN2
科高 K E1 G AO1
阳关 II IANG2 G UAN1
艄公 SH AO1 G ONG1
植保 ZH IX2 B AO3
开水 K AI1 SH UI3
正旦 ZH ENG4 D AN4
妖娆 II IAO1 R AO2
新的 X IN1 D E5
肃宁 S U4 N ING2
偏斜 P IAN1 X IE2
求精 Q IU2 J ING1
判赔 P AN4 P EI2
太谷 T AI4 G U3
飞轮 F EI1 L UN2
紧缩 J IN3 S UO1
师生 SH IX1 SH ENG1
内接 N EI4 J IE1
香榧 X IANG1 F EI3
提盒 T I2 H E2
应力 II ING4 L I4
目的 M U4 D I5
含蕴 H AN2 VV VN4
外置 UU UAI4 ZH IX4
站地 ZH AN4 D I4
奶味 N AI3 UU UI4
多玩 D UO1 UU UAN2
选召 X VAN3 ZH AO4
智谋 ZH IX4 M OU2
骨料 G U3 L IAO4
私奔 S IY1 B EN1
缙云 J IN4 VV VN2
苦刑 K U3 X ING2
伪娘 UU UI3 N IANG2
玩水 UU UAN2 SH UI3
莘莘 SH EN1 SH EN1
笔误 B I3 UU U4
截断 J IE2 D UAN4
表现 B IAO3 X IAN4
刹车 SH A1 CH E1
虾酱 X IA1 J IANG4
兆周 ZH AO4 ZH OU1
倡导 CH ANG4 D AO3
绘画 H UI4 H UA4
穿梭 CH UAN1 S UO1
之乐 ZH IX1 VV VE4
颞叶 N IE4 II IE4
音频 II IN1 P IN2
希曾 X I1 C ENG2
消灾 X IAO1 Z AI1
追逐 ZH UI1 ZH U2
嫌隙 X IAN2 X I4
商学 SH ANG1 X VE2
援救 VV VAN2 J IU4
袋鼠 D AI4 SH U3
奎尔 K UI2 EE ER3
刚劲 G ANG1 J ING4
啰嗦 L UO1 S UO5
园新 VV VAN2 X IN1
马兰 M A3 L AN2
颐阳 II I2 II IANG2
远房 VV VAN3 F ANG2
痛风 T ONG4 F ENG1
存疑 C UN2 II I2
甲铠 J IA3 K AI3
镇宅 ZH EN4 ZH AI2
标普 B IAO1 P U3
老爸 L AO3 B A4
神游 SH EN2 II IU2
脏字 Z ANG1 Z IY4
海味 H AI3 UU UI4
以后 II I3 H OU4
枭首 X IAO1 SH OU3
道合 D AO4 H E2
对劲 D UI4 J IN4
多轮 D UO1 L UN2
小罗 X IAO3 L UO2
浪女 L ANG4 N V3
禁食 J IN4 SH IX2
学习 X VE2 X I2
超速 CH AO1 S U4
辉阳 H UI1 II IANG2
盗掘 D AO4 J VE2
两分 L IANG3 F EN4
网民 UU UANG3 M IN2
宁强 N ING2 Q IANG2
杰出 J IE2 CH U1
坐待 Z UO4 D AI4
亚麻 II IA4 M A2
赋与 F U4 VV V3
韶光 SH AO2 G UANG1
上同 SH ANG4 T ONG2
嫁接 J IA4 J IE1
东经 D ONG1 J ING1
闹场 N AO4 CH ANG3
估摸 G U1 M O5
侨联 Q IAO2 L IAN2
情分 Q ING2 F EN4
财运 C AI2 VV VN4
岩石 II IAN2 SH IX2
贫矿 P IN2 K UANG4
疯癫 F ENG1 D IAN1
蓝布 L AN2 B U4
小绵 X IAO3 M IAN2
接洽 J IE1 Q IA4
出继 CH U1 J I4
市值 SH IX4 ZH IX2
真爱 ZH EN1 AA AI4
刚果 G ANG1 G UO3
弓弦 G ONG1 X IAN2
珊瑚 SH AN1 H U2
丢人 D IU1 R EN2
底下 D I3 X IA5
强森 Q IANG2 S EN1
位于 UU UI4 VV V2
阜城 F U4 CH ENG2
就问 J IU4 UU UN4
杀死 SH A1 S IY3
名落 M ING2 L UO4
引进 II IN3 J IN4
找茬 ZH AO3 CH A2
腐败 F U3 B AI4
进位 J IN4 UU UI4
转用 ZH UAN3 II IONG4
闭门 B I4 M EN2
献给 X IAN4 G EI3
单调 D AN1 D IAO4
禀承 B ING3 CH ENG2
玄机 X VAN2 J I1
厌气 II IAN4 Q I4
轮种 L UN2 ZH ONG4
缺位 Q VE1 UU UI4
未羊 UU UI4 II IANG2
让平 R ANG4 P ING2
发白 F A1 B AI2
慧生 H UI4 SH ENG1
故都 G U4 D U1
恭贺 G ONG1 H E4
衬纸 CH EN4 ZH IX3
茶社 CH A2 SH E4
国联 G UO2 L IAN2
丽华 L I4 H UA2
金阳 J IN1 II IANG2
石块 SH IX2 K UAI4
炸子 ZH A4 Z IY5
年头 N IAN2 T OU2
侦讯 ZH EN1 X VN4
泸定 L U2 D ING4
撤走 CH E4 Z OU3
侥幸 J IAO3 X ING4
核定 H E2 D ING4
板书 B AN3 SH U1
提法 T I2 F A3
诈欺 ZH A4 Q I1
酸奶 S UAN1 N AI3
致死 ZH IX4 S IY3
排解 P AI2 J IE3
转播 ZH UAN3 B O1
凤翔 F ENG4 X IANG2
吉勒 J I2 L E4
粮站 L IANG2 ZH AN4
骑麟 Q I2 L IN2
地铁 D I4 T IE3
丹霞 D AN1 X IA2
获罪 H UO4 Z UI4
凤泉 F ENG4 Q VAN2
保外 B AO3 UU UAI4
炫耀 X VAN4 II IAO4
雀跃 Q VE4 VV VE4
苦功 K U3 G ONG1
筷子 K UAI4 Z IY5
新园 X IN1 VV VAN2
售货 SH OU4 H UO4
行唐 X ING2 T ANG2
核型 H E2 X ING2
嗤鼻 CH IX1 B I2
腐烂 F U3 L AN4
无时 UU U2 SH IX2
坠楼 ZH UI4 L OU2
能量 N ENG2 L IANG4
小宋 X IAO3 S ONG4
太深 T AI4 SH EN1
露腰 L U4 II IAO1
极南 J I2 N AN2
足色 Z U2 S E4
阻抗 Z U3 K ANG4
黄斑 H UANG2 B AN1
怀恨 H UAI2 H EN4
签呈 Q IAN1 CH ENG2
可身 K E3 SH EN1
变卦 B IAN4 G UA4
答复 D A2 F U4
连日 L IAN2 R IZ4
男足 N AN2 Z U2
比年 B I3 N IAN2
成贵 CH ENG2 G UI4
太强 T AI4 Q IANG2
发蓝 F A1 L AN2
海豹 H AI3 B AO4
惜金 X I1 J IN1
异腈 II I4 J ING1
男娃 N AN2 UU UA2
钻工 Z UAN4 G ONG1
半坡 B AN4 P O1
探监 T AN4 J IAN1
广场 G UANG2 CH ANG3
交合 J IAO1 H E2
萧邦 X IAO1 B ANG1
白头 B AI2 T OU2
敦促 D UN1 C U4
仲南 ZH ONG4 N AN2
认罪 R EN4 Z UI4
声韵 SH ENG1 VV VN4
金蝶 J IN1 D IE2
烟农 II IAN1 N ONG2
乐坛 VV VE4 T AN2
波谱 B O1 P U3
损毁 S UN3 H UI3
春闱 CH UN1 UU UI2
于安 VV V2 AA AN1
相比 X IANG1 B I3
康佳 K ANG1 J IA1
悲观 B EI1 G UAN1
军容 J VN1 R ONG2
